name,current_role,organization,why_fit_for_hdim_model,priority_tier,recruitability_estimate,source_url_1,source_url_2
Dr. Shelly Gupta,Chief Medical Officer of Medicare Advantage,Clover Health,"Direct MA CMO operator; prior Humana CMO leadership with measurable utilization and quality outcomes.",Tier 1,Medium,https://www.globenewswire.com/news-release/2025/4/7/3057207/0/en/Clover-Health-Appoints-Industry-Veteran-as-Chief-Medical-Officer-of-Medicare-Advantage.html,https://www.beckerspayer.com/executive-moves/clover-health-taps-humana-leader-as-chief-medical-officer/
Dr. Don Liss,Chief Medical Officer,Johns Hopkins Health Plans,"Managed care veteran across Jefferson/Horizon/Aetna/CVS; strong cross-payer credibility and MA exposure via Advantage MD.",Tier 1,Medium-Low,https://www.hopkinsmedicine.org/news/newsroom/news-releases/2025/03/johns-hopkins-health-plans-announces-new-chief-medical-officer,
Dr. Joe Kimura,Chief Medical Officer,SCAN Health Plan,"Leads clinical strategy at major nonprofit MA plan; known for population health and digital innovation.",Tier 1,Medium-Low,https://www.scanhealthplan.com/About-SCAN/Press-Releases/SCAN-Strengthens-Leadership-Team,
Dr. Romilla Batra,Senior Vice President and Chief Medical Officer,Premera Blue Cross,"Former long-tenure CMO at SCAN (national MA plan); combines payer clinical strategy with provider/pop-health execution.",Tier 1,Medium,https://www.prnewswire.com/news-releases/premera-blue-cross-names-dr-romilla-batra-as-chief-medical-officer-senior-vice-president-302134699.html,https://www.beckerspayer.com/leadership/premera-blue-cross-taps-chief-medical-officer-from-scan/
Dr. David Williams,Executive Vice President and Chief Medical Officer,CareSource,"Managed care CMO with Optum + UnitedHealthcare background including DSNP and complex populations.",Tier 2,Medium,https://www.caresource.com/about-us/executive-leadership/dr-david-williams-executive-vice-president-and-chief-medical-officer/,https://www.globenewswire.com/news-release/2024/08/22/2934224/0/en/Federal-Government-Rates-CareSource-Among-the-Best-Health-Plans-for-Members-with-Complex-Health-Care-Needs.html
Dr. Minh Nguyen,Chief Medical Officer,CareSource Georgia,"Market CMO overseeing clinical strategy, population health, and quality operations in managed care setting.",Tier 2,Medium-High,https://www.caresource.com/newsroom/press-releases/caresource-georgia-announces-dr-minh-nguyen-as-chief-medical-officer/,
Dr. Beena M. Joseph,Vice President and Market Chief Medical Officer,CareSource Indiana,"State-market CMO role with provider relationship and quality leadership; potentially more recruitable than national C-suite.",Tier 2,Medium-High,https://www.caresource.com/newsroom/press-releases/caresource-indiana-welcomes-dr-beena-joseph-as-chief-medical-officer/,
Dr. Marisa Rogers,Chief Medical Officer,Oak Street Health,"Value-based senior care operator with strong clinical credibility in Medicare populations and care model execution.",Tier 2,Medium,https://www.oakstreethealth.com/news/oak-street-health-recognized-by-the-american-medical-association-for-promoting-well-being-of-healthcare-providers,https://www.ahip.org/people/marisa-rogers-md-mph
Dr. Carmen A. Peralta,Chief Medical Officer,Habitat Health,"Value-based and complex-needs leadership; prior chief clinical roles in technology-enabled care delivery models.",Tier 3,Medium,https://www.prnewswire.com/news-releases/habitat-health-announces-founding-leadership-team-and-more-than-50-million-in-capital-investments-302242781.html,
Dr. Thomas Diller,Vice President (Population Health Services Organization) and President (Provider Network),AdventHealth,"National policy and MA-adjacent strategic credibility via MedPAC appointment; strong network potential.",Tier 3,Medium-Low,https://www.gao.gov/press-release/gao-makes-medpac-appointments-2025,
